title,location
Government Film and Television Institute Bangalore,"Karnataka, Bangalore"
MUH Jain College of Education Fatehabad,"Haryana, Fatehabad"
Indian Institute of Journalism and New Media Bangalore,"Karnataka, Bangalore"
Maharishi Dayanand College of Education Abohar,"Punjab, Abohar"
LJ Institute of Computer Applications,"Unknown, Applications"
MP College of Education Madhepura,"Bihar, Madhepura"
Swaminarayan Siddhanta Institute Of Technology Nagpur,"Maharashtra, Nagpur"
Jayaprakash Institute of Social Change Kolkata,"West Bengal, Kolkata"
Enviroskills Academy Panji,"Goa, Panji"
MAHE Manipal,"Karnataka, Manipal"
Mahajubilee Training College Mulloorkara Thrissur,"Kerala, Thrissur"
JD Institute of Fashion Technology Bangalore,"Karnataka, Bangalore"
Vishal kanya degree college Bareilly,"Uttar Pradesh, Bareilly"
Narasaraopeta Engineering College,"Andhra Pradesh, Narasaraopet"
CET Trivandrum,"Kerala, Trivandrum"
Indira Gandhi Institute of Cooperative Management Lucknow,"Uttar Pradesh, Lucknow"
Synod College Shillong,"Meghalaya, Shillong"
Shivraj Smarak Mahavidyalaya Ballia,"Uttar Pradesh, Ballia"
Mahe CoOperative College of Teacher Education,"Puducherry, Mahe"
Manav Bharati Nursery Teachers Training Institute New Delhi,"Delhi, Delhi"
Neelagiri Degree College Nalgonda,"Telangana, Nalgonda"
Meppayur Salafi College of Teacher Education Kozhikode,"Kerala, Kozhikode"
Dr Rammanohar Lohiya Mahavidyalaya Kanpur,"Uttar Pradesh, Kanpur"
SPSU,"Unknown, SPSU"
Som Lalit Institute of Management Studies Ahmedabad,"Gujarat, Ahmedabad"
Sri Sai Group Of Institutes Pathankot,"Punjab, Pathankot"
Quantum School of Business Dehradun,"Uttarakhand, Dehradun"
Paulsons College of Education Villupuram,"Tamil Nadu, Villupuram"
Grace Teacher Training Institute Kanyakumari,"Tamil Nadu, Kanyakumari"
Jamia Polytechnic Akkalkuwa Nandurbar,"Maharashtra, Nandurbar"
Miot College of Nursing Chennai,"Tamil Nadu, Chennai"
Partap College of Education Ludhiana,"Punjab, Ludhiana"
Gandhi Polytechnic College Erode,"Tamil Nadu, Erode"
JBIT Dehradun,"Uttarakhand, Dehradun"
Minerva Academy BEd College Murshidabad,"West Bengal, Murshidabad"
Bharath College of Parmedical Science Kottayam,"Kerala, Kottayam"
Academy of Carver Aviation Pvt Ltd Pune,"Maharashtra, Pune"
RVS School of Management Studies (PG) Coimbatore,"Tamil Nadu, Coimbatore"
Indra Ganesan College of Engineering Tiruchirappalli,"Tamil Nadu, Tiruchirappalli"
Jeppiaar Engineering College Chennai,"Tamil Nadu, Chennai"
Ludhiana Group of Colleges,"Punjab, Ferozepur"
Nachimuthu Polytechnic College Pollachi,"Tamil Nadu, Pollachi"
HRIT University Ghaziabad,"Uttar Pradesh, Ghaziabad"
BLDEACET,"Karnataka, Vijayapura"
Axis College of Engineering and Technology Thrissur,"Kerala, Thrissur"
Gnanamani College of Engineering Namakkal,"Tamil Nadu, Namakkal"
Gurudev Arts and Science College Payyanur,"Kerala, Payyanur"
Rupahi College Nagaon,"Assam, Nagaon"
Muthayammal Engineering College Namakkal,"Tamil Nadu, Namakkal"
Mrs AVN College Visakhapatnam,"Andhra Pradesh, Visakhapatnam"
St Wilfreds Teacher's Training College Jaipur,"Rajasthan, Jaipur"
Meenakshi Academy of Higher Education and Research Chennai,"Tamil Nadu, Chennai"
Colonel College of Education Sangrur,"Punjab, Sangrur"
Thiagarajar Polytechnic College Thrissur,"Kerala, Thrissur"
ID Patel College of Education Ahmedabad,"Gujarat, Ahmedabad"
Indira Teacher Training institute Thiruvallur,"Tamil Nadu, Thiruvallur"
Nand Kishor Jakhmola Roorkee,"Uttarakhand, Roorkee"
Government College for Women Thiruvananthapuram,"Kerala, Thiruvananthapuram"
Foremen Training Institute Bangalore,"Karnataka, Bangalore"
Government Arts College Thiruvananthapuram,"Kerala, Thiruvananthapuram"
Dr. BMN College of Home Science Mumbai,"Maharashtra, Mumbai"
C & SH Desai Arts and LKL Doshi Commerce College Kheda,"Gujarat, Kheda"
Mumbai College of Hotel Management and Catering Technology,"Puducherry, Mahe"
Mount Zion College of Engineering and Technology Pudukkottai,"Tamil Nadu, Pudukkottai"
Shri Sarashwati Shikshan Mahavidayalya Mehsana,"Gujarat, Mehsana"
Shreemati Nathibai Damodar Thackersey Women's University Pune,"Maharashtra, Pune"
Abhay P.G College,"Uttar Pradesh, Varanasi"
St. Thomas College Kottayam,"Kerala, Kottayam"
PGP College of Engineering and Technology Namakkal,"Tamil Nadu, Namakkal"
"DBUU, DBIT","Unknown, DBIT"
Government Polytechnic Jamui,"Maharashtra, Kalyan"
Murugappa Polytechnic College Chennai,"Tamil Nadu, Chennai"
IGIT Sarang,"Bihar, Saran"
Andhra Muslim College of Education Guntur,"Andhra Pradesh, Guntur"
Andhra Mahila Sabha Arts and Science College for Women Hyderabad,"Telangana, Hyderabad"
Apollo College of Education Poonamallee,"Unknown, Poonamallee"
Shri Pundlik Maharaj Mahavidalya Buldhana,"Maharashtra, Buldhana"
Sinhgad Law College Pune,"Maharashtra, Pune"
Devi Ahilya Vishwavidyalaya,"Bihar, Nalanda"
Vaikunta Baliga College of Law Udupi,"Karnataka, Udupi"
Annapurna College of Film and Media Hyderabad,"Telangana, Hyderabad"
Govt College for Women Kumbakonam,"Tamil Nadu, Kumbakonam"
Jamshedpur Workers College,"Unknown, Unknown"
Airborne Academy New Delhi,"Delhi, Delhi"
Sardarkrushinagar Dantiwada Agricultural University Palanpur,"Gujarat, Palanpur"
Gandhi Shikshak Mahavidhyalaya Bhilwara,"Rajasthan, Bhilwara"
Darshan BEd College Jhalawar,"Rajasthan, Jhalawar"
Dikhowmukh College Sibsagar,"Assam, Sibsagar"
Bhola Prasad Singh College Gopalganj,"Bihar, Gopalganj"
Patharkandi College of Education Karimganj,"Assam, Karimganj"
KK Parekh Commerce College Amreli,"Gujarat, Amreli"
Arjun Ram Teachers Training College Sikar,"Rajasthan, Sikar"
MU College of Commerce Pune,"Maharashtra, Pune"
SS Institute of Management Lucknow,"Uttar Pradesh, Lucknow"
Life Guard Nursing Institute Sangrur,"Punjab, Sangrur"
Indus College of Engineering Bhubaneswar,"Odisha, Bhubaneswar"
Cauvery College for Women Tiruchirappalli,"Tamil Nadu, Tiruchirappalli"
Uluberia College Howrah,"West Bengal, Howrah"
MET Faculty of Pharmacy Moradabad,"Uttar Pradesh, Moradabad"
Presidency School of Management and Computer Science Hyderabad,"Telangana, Hyderabad"
Acharya’S Nr Institute Of Physiotherapy Bangalore,"Karnataka, Bangalore"
Deshapran College of Teachers' Education Medinipur,"West Bengal, Medinipur"
Kousali Institute of Management Studies Dharwad,"Karnataka, Dharwad"
Abdul Aziz Ansari Degree College Jaunpur,"Uttar Pradesh, Jaunpur"
Bharathi Women's College Chennai,"Tamil Nadu, Chennai"
SAHE University,"Andhra Pradesh, Vijayawada"
Bharati Vidyapeeth Deemed University Institute of Management Kolhapur,"Maharashtra, Kolhapur"
Rahul MEd College Thane,"Maharashtra, Thane"
Nootan College of Pharmacy Sangli,"Maharashtra, Sangli"
Kargil Shahid Mahavidyalaya Etawah,"Uttar Pradesh, Etawah"
Lisieux College of Education Coimbatore,"Tamil Nadu, Coimbatore"
MJCET,"Gujarat, Anjar"
"Faculty of Architecture, Noble Group of Institution Junagadh","Gujarat, Junagadh"
Smt PK Inamdar College of Education Anand,"Gujarat, Anand"
Rajagiri College of Social Sciences Kochi,"Kerala, Kochi"
Magadh Teacher's Training BEd College Aurangabad,"Maharashtra, Aurangabad"
Amrapali International Institute of Hotel Management Noida,"Uttar Pradesh, Noida"
Mahatma Phule College of Education(B.Ed.) Aurangabad,"Maharashtra, Aurangabad"
Radharaman College of Pharmacy Bhopal,"Madhya Pradesh, Bhopal"
RM College of Education Jammu,"Jammu & Kashmir, Jammu"
Center for Management Technology Greater Noida,"Uttar Pradesh, Noida"
Viswanadha Institute of Pharmaceutical Sciences Visakhapatnam,"Andhra Pradesh, Visakhapatnam"
JIET School of Engineering & Technology for Girls Jodhpur,"Rajasthan, Jodhpur"
MES Teacher's College Bangalore,"Karnataka, Bangalore"
Fly Wings Aviation Pvt Ltd Mumbai,"Maharashtra, Mumbai"
NIT Manipur,"Manipur, Imphal"
CIPET Lucknow,"Tamil Nadu, Chennai"
Acharya School of Management Bangalore,"Karnataka, Bangalore"
Xavier Institute of Management and Research Mumbai,"Maharashtra, Mumbai"
Warangal Institute of Technology and Science,"Telangana, Warangal"
Acharya Shrimannarayan Polytechnic Nagpur,"Maharashtra, Nagpur"
Akbar Academy Thiruvananthapuram,"Kerala, Thiruvananthapuram"
ASRA Group of Institutions Sangrur,"Punjab, Sangrur"
Landmark Foundation Institute of Management and Technology Dehradun,"Uttarakhand, Dehradun"
Annie Besant College for Women Hyderabad,"Telangana, Hyderabad"
Rajiv Gandhi Memorial College of Education Kathua,"Jammu & Kashmir, Kathua"
Srinivasan Engineering College Perambalur,"Tamil Nadu, Perambalur"
New India Bible Seminary Changanacherry,"Kerala, Kottayam"
Priyadarshini Polytechnic Nagpur,"Maharashtra, Nagpur"
Dr. CV Raman College of Physical Education Bilaspur,"Chhattisgarh, Bilaspur"
BJMC Pune,"Maharashtra, Pune"
Mahila Vidyalaya PG College Lucknow,"Uttar Pradesh, Lucknow"
Indian Institute of Financial Planning New Delhi,"Delhi, Delhi"
Integral University Lucknow,"Uttar Pradesh, Lucknow"
Adhiyamaan College of Engineering Hosur,"Tamil Nadu, Hosur"
Acharya's NRV School of Architecture Bangalore,"Karnataka, Bangalore"
Rungta Engineering College Bhilai,"Chhattisgarh, Bhilai"
Geeta Arya Girls College of Education Jind,"Haryana, Jind"
Innovative College of Pharmacy Greater Noida,"Uttar Pradesh, Noida"
Government College of Education Sangrur,"Punjab, Sangrur"
Dr HR Gajwani College of Education Kachchh,"Gujarat, Kachchh"
Gobindapur Sephali Memorial Primary Teacher's Training Institute Bardhaman,"West Bengal, Bardhaman"
Smt BNB Swaminarayan Pharmacy College Vapi,"Gujarat, Vapi"
IRMA Anand,"Gujarat, Anand"
Institute of Technology & Management Bhilwara,"Rajasthan, Bhilwara"
Anna University of Technology Madurai,"Tamil Nadu, Chennai"
DES College of Nursing Pune,"Maharashtra, Pune"
Rao Pahlad Singh College of Education Mahendragarh,"Haryana, Mahendragarh"
GMC Patiala,"Punjab, Patiala"
Gyan Bharti College of Education Karnal,"Haryana, Karnal"
Sahdeo Chandravansi BEd College Palamu,"Jharkhand, Palamu"
Sarada College of Hotel Management Hyderabad,"Telangana, Hyderabad"
Prasad Institute of Technology Jaunpur,"Uttar Pradesh, Jaunpur"
Rukmini Devi College of Education New Delhi,"Delhi, Delhi"
Great India Teacher Training College Jhalawar,"Rajasthan, Jhalawar"
Priyadarshini College of Computer Science and Research Hyderabad,"Telangana, Hyderabad"
Indian Aerospace and Engineering Navi Mumbai,"Maharashtra, Mumbai"
Nagaland University Zunhebotto,"Unknown, Zunhebotto"
Ravoof & Vazir Khan's Memorial College of Education Srikakulam,"Andhra Pradesh, Srikakulam"
MES Medical College and Hospital Malappuram,"Kerala, Malappuram"
WCE Sangli,"Maharashtra, Sangli"
Lakshmi Narain College of Technology & Science Indore,"Madhya Pradesh, Indore"
"R.R. Group of Institutions (RRGI), Lucknow","Uttar Pradesh, Lucknow"
KB Institute of Pharmaceutical Education and Research Gandhinagar,"Gujarat, Gandhinagar"
Shivam Teachers Training College Patna,"Bihar, Patna"
Adesh Institute of Biomedical Sciences Bathinda,"Punjab, Bathinda"
SM Shanbhag Hegdekar Institute of Teachers Training Kumta,"Karnataka, Kumta"
Samarpan Institute of Nursing and Paramedical Sciences Lucknow,"Uttar Pradesh, Lucknow"
Shree Sarvajanik College of Education Godhra,"Gujarat, Godhra"
Pragyan International University Ranchi,"Jharkhand, Ranchi"
Rishi M.S Institute of Engineering & Technology for Women Hyderabad,"Telangana, Hyderabad"
Minerva College of Arts and Science Mettur,"Unknown, Mettur"
Kautilya Institute of Technology and Engineering Jaipur,"Rajasthan, Jaipur"
Merit International Institute of Technology The Nilgiris,"Tamil Nadu, Nilgiris"
Mar Augusthinose College Ramapuram Kottayam,"Kerala, Kottayam"
Bhagwan Mahabir Jain Girls College of Education Rohtak,"Haryana, Rohtak"
MES Training College Edathala Ernakulam,"Kerala, Ernakulam"
AIHM Institute of tourism and hotel management New Delhi,"Delhi, Delhi"
Jai Shri Dayal Teacher's Training College Sikar,"Rajasthan, Sikar"
Harvard College of Education Jammu,"Jammu & Kashmir, Jammu"
MVGR,"Andhra Pradesh, Vizianagaram"
"Manav Rachna University, Faculty of Education and Humanities Faridabad","Haryana, Faridabad"
Arulmigu Thirupurasundari Amman Polytechnic College Kanchipuram,"Tamil Nadu, Kanchipuram"
Anjabit Singh College Rohtas,"Bihar, Rohtas"
Apollo Institute of Hospital Administration Hyderabad,"Odisha, Berhampur"
Lord Shiva College of Education Rohtak,"Haryana, Rohtak"
Chandrashekhar Agashe College of Physical Education Pune,"Maharashtra, Pune"
Baba Mehar Singh Memorial College Gurdaspur,"Punjab, Gurdaspur"
Hitkarini Prashikshan Mahila Mahavidhyalaya Jabalpur,"Madhya Pradesh, Jabalpur"
Mass Education Primary Teachers' Training Institute South 24 Parganas,"West Bengal, South 24 Parganas"
Guru Nanak College of Education New Delhi,"Delhi, Delhi"
Pratap College of Education Karnal,"Haryana, Karnal"
Sri Aurobindo Mira College of Education Madurai,"Tamil Nadu, Madurai"
Raja Foundation College of Education Kadapa,"Andhra Pradesh, Kadapa"
Paramhans Institute of Education Narsinghpur,"Madhya Pradesh, Narsinghpur"
Adamas Institute of Technology Kolkata,"West Bengal, Kolkata"
Shri Bhikhabhai Patel Arts College Anand,"Gujarat, Anand"
Sand Dunes BEd College Jaipur,"Rajasthan, Jaipur"
Orient Flights Civil Aviation Academy Chennai,"Tamil Nadu, Chennai"
Dr. Panjabrao Deshmukh Institute of Management Technology and Research Nagpur,"Maharashtra, Nagpur"
KAP Viswanatham Government Medical College Tiruchirappalli,"Tamil Nadu, Tiruchirappalli"
Institute of Hotel Management Faridabad,"Haryana, Faridabad"
Dr. M.C. Saxena Group of Colleges Lucknow,"Uttar Pradesh, Lucknow"
Dudhnoi College Goalpara,"Assam, Goalpara"
Modern College of Education Ghatkesar,"Telangana, Ghatkesar"
Rao Nihal Singh College of Education Jhajjar,"Haryana, Jhajjar"
GBPUAT,"Uttarakhand, Udham Singh Nagar"
Dr Babasaheb Nandurkar College of Physical Education Yavatmal,"Maharashtra, Yavatmal"
DDU,"Unknown, DDU"
Rattan Institute of Technology and Management Palwal,"Haryana, Palwal"
Elizabeth College of Education Perambalur,"Tamil Nadu, Perambalur"
KT Patil College of Engineering Osmanabad,"Maharashtra, Osmanabad"
Jayawantrao Sawant Polytechnic Pune,"Maharashtra, Pune"
SN College of Education Dholpur,"Rajasthan, Dholpur"
Kalikamba College of Education Prakasam,"Andhra Pradesh, Prakasam"
RR B.Ed College Bangalore,"Karnataka, Bangalore"
Sri Sri University Cuttack,"Odisha, Cuttack"
Vee Care College of Nursing Chennai,"Tamil Nadu, Chennai"
Priyadarshini Institute of Engineering and Technology Nagpur,"Maharashtra, Nagpur"
A.C.P.M. Dental College Dhule,"Maharashtra, Dhule"
SR College of Education Rohtak,"Haryana, Rohtak"
Tellakula Jalayya Polisetty Somasundaram College Guntur,"Andhra Pradesh, Guntur"
BMC Sagar,"Madhya Pradesh, Sagar"
SIES Institute of Comprehensive Education Mumbai,"Maharashtra, Mumbai"
PSCMR,"Unknown, PSCMR"
School Of Biochemistry Indore,"Madhya Pradesh, Indore"
Shiv Savitri Mahavidyalaya Ayodhya,"Uttar Pradesh, Ayodhya"
Jawaharlal Aviation Institute Palakkad,"Kerala, Palakkad"
Babu Jai Shankar Gaya Prasad Mahavidyalaya Unnao,"Uttar Pradesh, Unnao"
SIMATS,"Unknown, Unknown"
Government First Grade College Bhadravati Shimoga,"Karnataka, Shimoga"
Smt SK Somaiya Junior College of Education Mumbai,"Maharashtra, Mumbai"
Shree Satya Sai BEd College Muktsar,"Punjab, Muktsar"
Gurajada College of Education Srikakulam,"Andhra Pradesh, Srikakulam"
GIET Polytechic Bhubaneswar,"Odisha, Bhubaneswar"
Hansraj Jivandas College of Education Mumbai,"Maharashtra, Mumbai"
AISSMSCOE,"Unknown, Unknown"
Gokaran Narvadeshver Institute of Technology & Management Barabanki,"Uttar Pradesh, Barabanki"
Babu Kamta Prasad Jain Mahavidyalya Bagpat,"Uttar Pradesh, Baghpat"
A.J. Institute of Dental Sciences Mangalore,"Karnataka, Mangalore"
Nabajyoti College Barpeta,"Assam, Barpeta"
Kithana College of Education Kaithal,"Haryana, Kaithal"
Sri Vimal Nath Shiksha Prashikshan Mahila Mahavidyalaya Sitapur,"Uttar Pradesh, Sitapur"
Sri Sarvajna College of Education Bangalore,"Karnataka, Bangalore"
Rashtra Uday TT College Bikaner,"Rajasthan, Bikaner"
Oriental College of Pharmacy Bhopal,"Madhya Pradesh, Bhopal"
ALIET,"Madhya Pradesh, Agar"
Seemanta Engineering College Mayurbhanj,"Odisha, Mayurbhanj"
Sri Siddhartha College of Education Tumkur,"Karnataka, Tumkur"
Sushilabai Ramchandrarao Mamidwar College Of Social Work Chandrapur,"Maharashtra, Chandrapur"
SVR College of Education Khammam,"Telangana, Khammam"
IET Biotechnology Institute Alwar,"Rajasthan, Alwar"
Shambhu Dayal College of Education Sonepat,"Haryana, Sonepat"
Bapuji Institute of HiTech Education Davanagere,"Karnataka, Davanagere"
Peetamber Degree College Agra,"Uttar Pradesh, Agra"
Government Tool Room & Training Centre Bangalore,"Karnataka, Bangalore"
Haryana College of Education Jind,"Haryana, Jind"
Anand College of Education Agra,"Uttar Pradesh, Agra"
St. Joseph's Training College Mannanam Kottayam,"Kerala, Kottayam"
Vidya Academy of Science and Technology Thrissur,"Kerala, Thrissur"
Pankajakasthuri College of Engineering and Technology Thiruvananthapuram,"Kerala, Thiruvananthapuram"
Chamba Millennium Education College,"Unknown, Unknown"
St Thomas College of Teacher Education Pala Kottayam,"Kerala, Kottayam"
BTIRT,"Unknown, BTIRT"
AIIMS Patna,"Bihar, Patna"
Infobit Technologies Ahmedabad,"Gujarat, Ahmedabad"
Global Infotech Learning Kolhapur,"Maharashtra, Kolhapur"
IIFM Bhopal,"Madhya Pradesh, Bhopal"
IIM Rohtak,"Haryana, Rohtak"
MCC Mulund,"Maharashtra, Mulund"
All India Institute of Physical Medicine and Rehabilitation Mumbai,"Maharashtra, Mumbai"
SKN College of Agriculture Jaipur,"Rajasthan, Jaipur"
Sri Devaraj URS Academy of Higher Education & Research Kolar,"Karnataka, Kolar"
NCR Technical Campus Aligarh,"Uttar Pradesh, Aligarh"
BMSCE,"Karnataka, Bangalore"
Bangalore Animation College,"Madhya Pradesh, Agar"
Chandragupt Institute of Management Patna,"Bihar, Patna"
CU Shah Science College Ahmedabad,"Gujarat, Ahmedabad"
CBS Group of Institutions Jhajjar,"Haryana, Jhajjar"
APG Shimla University,"Unknown, Unknown"
ARG Arts and Commerce College Davanagere,"Karnataka, Davanagere"
Guru Ravidas Ayurved University Hoshiarpur,"Punjab, Hoshiarpur"
Digital University Kerala Thiruvananthapuram,"Kerala, Thiruvananthapuram"
University of Kashmir Srinagar,"Jammu & Kashmir, Srinagar"
Shreeyash Polytechnic Aurangabad,"Maharashtra, Aurangabad"
Jaipur National University,"Rajasthan, Jaipur"
Pavendar Bharathidasan College of Arts and Science Tiruchirappalli,"Tamil Nadu, Tiruchirappalli"
Sree Rama Government Polytechnic College Thrissur,"Kerala, Thrissur"
DYPMC Pune,"Maharashtra, Pune"
GRG Polytechnic College Coimbatore,"Tamil Nadu, Coimbatore"
Sri R.K.M. Law College Chittoor,"Andhra Pradesh, Chittoor"
Garv Institute of Management and Technology Bhilai,"Chhattisgarh, Bhilai"
Adhiyamaan Polytechnic College Hosur,"Tamil Nadu, Hosur"
LDC Institute of Technical Studies Allahabad,"Uttar Pradesh, Allahabad"
Government College of Engineering Bhojpur,"Bihar, Bhojpur"
University of Calcutta,"Unknown, Calcutta"
